iter	RMSE
0	5.572286713
1	4.462783871
2	3.882233415
3	3.535075569
4	3.407224914
5	3.271257811
6	3.183719884
7	3.08925018
8	3.036166186
9	2.977789601
10	2.943014691
11	2.901227439
12	2.865472868
13	2.810952798
14	2.790712903
15	2.765485329
16	2.750377883
17	2.737133369
18	2.723840923
19	2.714760778
20	2.697062722
21	2.687300469
22	2.672142858
23	2.6685573
24	2.655978783
25	2.643708372
26	2.635865152
27	2.623544451
28	2.608403203
29	2.598873755
30	2.582523763
31	2.574497347
32	2.567550648
33	2.56071182
34	2.544818487
35	2.538880509
36	2.533115397
37	2.528045823
38	2.521269856
39	2.50952903
40	2.494021456
41	2.489940951
42	2.479980315
43	2.468510507
44	2.464180599
45	2.456312787
46	2.446134922
47	2.43249794
48	2.425727176
49	2.415103133
50	2.409793457
51	2.397517789
52	2.391824984
53	2.383904236
54	2.379098873
55	2.372938386
56	2.371107043
57	2.361564101
58	2.351523881
59	2.346766631
60	2.34184159
61	2.338185735
62	2.336004312
63	2.329061576
64	2.322046225
65	2.313693582
66	2.306550483
67	2.298555002
68	2.293278996
69	2.281885708
70	2.273471419
71	2.270728979
72	2.262387298
73	2.259767304
74	2.251802711
75	2.248132303
76	2.244241405
77	2.243096983
78	2.237356402
79	2.235189671
80	2.23184281
81	2.22714197
82	2.219138331
83	2.211649734
84	2.204472074
85	2.197978956
86	2.195686597
87	2.195308161
88	2.19165291
89	2.188180704
90	2.185834672
91	2.183794771
92	2.177947088
93	2.173153927
94	2.167470508
95	2.164139892
96	2.160691892
97	2.156827016
98	2.154978236
99	2.144569791
100	2.140464579
101	2.138778487
102	2.134874593
103	2.128620453
104	2.126021062
105	2.123632279
106	2.119948149
107	2.115243157
108	2.105271432
109	2.102651003
110	2.095340056
111	2.094531428
112	2.092296941
113	2.0910467
114	2.088926563
115	2.085146364
116	2.081043642
117	2.074047564
118	2.065453243
119	2.063409941
120	2.062703844
121	2.060410295
122	2.058523717
123	2.054023202
124	2.052685358
125	2.045291881
126	2.044726421
127	2.041960386
128	2.037479812
129	2.031916252
130	2.028629879
131	2.026078173
132	2.023611119
133	2.020366508
134	2.016832758
135	2.013790326
136	2.011207462
137	2.009327632
138	2.004937259
139	2.002496652
140	2.000358062
141	1.999492637
142	1.999151798
143	1.995912311
144	1.992045451
145	1.988971434
146	1.986756448
147	1.984246389
148	1.981462804
149	1.978750716
150	1.977727923
151	1.975051132
152	1.971742003
153	1.969667663
154	1.967153179
155	1.961645782
156	1.957394227
157	1.956873564
158	1.955802999
159	1.9540361
160	1.95176999
161	1.950021846
162	1.949307959
163	1.946671107
164	1.944519732
165	1.941769904
166	1.939688373
167	1.936186784
168	1.934007105
169	1.931730581
170	1.931571482
171	1.928654018
172	1.927052774
173	1.925044233
174	1.923918967
175	1.918659726
176	1.914038892
177	1.912658963
178	1.910548458
179	1.910292369
180	1.908733444
181	1.905171997
182	1.904953335
183	1.903207494
184	1.901209953
185	1.89901198
186	1.896549804
187	1.894423216
188	1.887308788
189	1.883978949
190	1.883137499
191	1.879274188
192	1.878612024
193	1.878445572
194	1.877342815
195	1.874354738
196	1.873115001
197	1.86797849
198	1.867045164
199	1.864995213
200	1.863998732
201	1.861367464
202	1.858590194
203	1.858280432
204	1.855623305
205	1.854787783
206	1.852685936
207	1.85039784
208	1.848197574
209	1.847143011
210	1.846393926
211	1.84509401
212	1.843064062
213	1.842459347
214	1.838121129
215	1.837296683
216	1.834728178
217	1.833649733
218	1.832812206
219	1.831954067
220	1.831098959
221	1.82951297
222	1.828740973
223	1.826132935
224	1.823071427
225	1.822464661
226	1.822351489
227	1.820162613
228	1.817695657
229	1.814707294
230	1.813599636
231	1.811277409
232	1.810660139
233	1.807000651
234	1.80400821
235	1.80073609
236	1.800364391
237	1.798291503
238	1.794399085
239	1.791181324
240	1.789744824
241	1.788187013
242	1.785788199
243	1.784357802
244	1.783079223
245	1.782079432
246	1.780227599
247	1.778856881
248	1.777909954
249	1.776713435
250	1.775547746
251	1.775166007
252	1.774570658
253	1.773386281
254	1.771078563
255	1.769904729
256	1.767221035
257	1.766788416
258	1.765230758
259	1.762672578
260	1.760313005
261	1.755942563
262	1.752650419
263	1.751515194
264	1.751201067
265	1.750313371
266	1.749400518
267	1.747748491
268	1.745774526
269	1.745079437
270	1.742357497
271	1.741801504
272	1.739980629
273	1.737421927
274	1.733807633
275	1.731750938
276	1.729118556
277	1.728601436
278	1.727652419
279	1.726628143
280	1.725760885
281	1.724703696
282	1.72375651
283	1.720513353
284	1.719494681
285	1.717769417
286	1.717229864
287	1.716846565
288	1.715981764
289	1.714615298
290	1.714145213
291	1.713877229
292	1.712702277
293	1.711465546
294	1.710460819
295	1.709549746
296	1.708342486
297	1.706773202
298	1.705862001
299	1.705187185
300	1.704767047
301	1.703490601
302	1.70157523
303	1.700900342
304	1.699225876
305	1.698845124
306	1.697984237
307	1.69657573
308	1.694127204
309	1.693472881
310	1.692660431
311	1.691739082
312	1.688830349
313	1.687631376
314	1.68622574
315	1.684998952
316	1.682185187
317	1.680696236
318	1.67996446
319	1.678760045
320	1.677966867
321	1.677397421
322	1.675869018
323	1.675259004
324	1.673210109
325	1.67122646
326	1.670671914
327	1.669748462
328	1.669158738
329	1.667399928
330	1.665829936
331	1.6643889
332	1.664343802
333	1.661945371
334	1.660605379
335	1.658580385
336	1.657268911
337	1.656394312
338	1.655439941
339	1.654751887
340	1.653301484
341	1.653098695
342	1.65230152
343	1.651577677
344	1.651202932
345	1.649958651
346	1.648450355
347	1.647278478
348	1.646237681
349	1.646034539
350	1.645498383
351	1.644406466
352	1.643977243
353	1.64326838
354	1.643183968
355	1.641994503
356	1.640587188
357	1.640084406
358	1.639904266
359	1.639781226
360	1.638470752
361	1.636625925
362	1.635499743
363	1.632867016
364	1.630238575
365	1.628829444
366	1.628191518
367	1.627422669
368	1.626614632
369	1.626528548
370	1.624037094
371	1.621848548
372	1.621610694
373	1.620938359
374	1.620184615
375	1.619919612
376	1.617399211
377	1.616648935
378	1.616087783
379	1.615222114
380	1.614765592
381	1.612737994
382	1.610834125
383	1.610573516
384	1.609972767
385	1.609325178
386	1.60860262
387	1.608085581
388	1.607426666
389	1.606997104
390	1.606189572
391	1.605438547
392	1.605335426
393	1.604411824
394	1.602938902
395	1.602101116
396	1.6014951
397	1.600611709
398	1.599698439
399	1.599038448
400	1.598330008
401	1.597148131
402	1.596562258
403	1.594145839
404	1.590830591
405	1.589787248
406	1.588792172
407	1.588088257
408	1.586057889
409	1.585910334
410	1.584723795
411	1.582577424
412	1.582333894
413	1.581635768
414	1.581547102
415	1.581001755
416	1.580355892
417	1.579789436
418	1.579139688
419	1.57903011
420	1.578050302
421	1.577266479
422	1.576963143
423	1.576343695
424	1.575642217
425	1.574699212
426	1.572694234
427	1.572490762
428	1.572408484
429	1.571677741
430	1.571373179
431	1.571265272
432	1.569267791
433	1.568178348
434	1.567600438
435	1.567212658
436	1.566544397
437	1.566408667
438	1.565353218
439	1.563922974
440	1.56319914
441	1.562405474
442	1.561895814
443	1.561360482
444	1.561092036
445	1.560485216
446	1.559979981
447	1.559875624
448	1.559361959
449	1.558937868
450	1.558523053
451	1.555463767
452	1.554659709
453	1.553394891
454	1.553055965
455	1.552603871
456	1.552522607
457	1.552259597
458	1.551938994
459	1.551815213
460	1.551283194
461	1.551025912
462	1.549610625
463	1.549192251
464	1.54837977
465	1.547956151
466	1.547416038
467	1.546581795
468	1.546083701
469	1.546032634
470	1.545531982
471	1.545359184
472	1.544800157
473	1.543965181
474	1.543385697
475	1.541330184
476	1.538515413
477	1.538114055
478	1.537464122
479	1.537309065
480	1.536937623
481	1.535771766
482	1.534454309
483	1.534311646
484	1.530869441
485	1.530017517
486	1.529500065
487	1.52936266
488	1.528473395
489	1.527163265
490	1.526580385
491	1.526257022
492	1.526037965
493	1.524541924
494	1.524217754
495	1.524191387
496	1.523848428
497	1.523770309
498	1.523396578
499	1.522696091
