iter	Passed	Remaining
0	169	84467
1	187	46740
2	204	33896
3	219	27260
4	234	23195
5	250	20591
6	265	18704
7	281	17311
8	295	16146
9	323	15834
10	338	15065
11	354	14425
12	370	13878
13	387	13443
14	403	13039
15	419	12685
16	435	12367
17	450	12076
18	467	11823
19	483	11593
20	498	11376
21	514	11186
22	530	11001
23	546	10829
24	562	10680
25	579	10565
26	595	10435
27	611	10306
28	626	10179
29	643	10079
30	659	9979
31	675	9885
32	692	9793
33	707	9701
34	723	9617
35	738	9523
36	754	9438
37	770	9364
38	786	9291
39	802	9227
40	818	9162
41	834	9100
42	850	9039
43	868	9000
44	884	8946
45	899	8882
46	916	8832
47	932	8776
48	947	8719
49	963	8673
50	980	8630
51	997	8597
52	1014	8557
53	1036	8558
54	1052	8512
55	1067	8462
56	1083	8423
57	1099	8380
58	1118	8360
59	1134	8320
60	1161	8362
61	1177	8317
62	1191	8266
63	1207	8224
64	1224	8196
65	1242	8167
66	1259	8139
67	1277	8113
68	1294	8085
69	1318	8098
70	1338	8089
71	1356	8066
72	1381	8079
73	1416	8156
74	1437	8145
75	1455	8120
76	1472	8088
77	1488	8053
78	1505	8022
79	1520	7981
80	1535	7943
81	1551	7907
82	1566	7872
83	1582	7837
84	1599	7808
85	1629	7842
86	1645	7812
87	1662	7783
88	1693	7820
89	1711	7798
90	1728	7768
91	1744	7738
92	1761	7710
93	1777	7679
94	1793	7647
95	1811	7621
96	1832	7613
97	1848	7583
98	1863	7549
99	1879	7517
100	1894	7482
101	1918	7485
102	1933	7453
103	1949	7422
104	1965	7395
105	1982	7370
106	1999	7344
107	2015	7315
108	2046	7341
109	2063	7315
110	2079	7288
111	2095	7260
112	2113	7236
113	2130	7212
114	2144	7180
115	2161	7153
116	2177	7128
117	2199	7120
118	2217	7099
119	2237	7085
120	2254	7061
121	2271	7038
122	2287	7012
123	2311	7009
124	2326	6980
125	2341	6951
126	2356	6919
127	2372	6893
128	2391	6876
129	2408	6856
130	2428	6839
131	2445	6818
132	2462	6796
133	2479	6773
134	2497	6752
135	2514	6730
136	2532	6711
137	2561	6719
138	2591	6729
139	2611	6715
140	2629	6695
141	2645	6670
142	2664	6651
143	2682	6630
144	2698	6607
145	2714	6582
146	2730	6557
147	2762	6569
148	2778	6546
149	2797	6527
150	2814	6505
151	2839	6499
152	2871	6511
153	2887	6486
154	2905	6466
155	2932	6466
156	2949	6444
157	2964	6417
158	2982	6395
159	2999	6374
160	3016	6351
161	3041	6345
162	3058	6322
163	3075	6300
164	3094	6281
165	3111	6259
166	3136	6254
167	3153	6231
168	3169	6208
169	3198	6208
170	3213	6182
171	3229	6158
172	3245	6134
173	3273	6132
174	3288	6108
175	3305	6085
176	3321	6061
177	3337	6037
178	3353	6013
179	3368	5989
180	3385	5966
181	3401	5942
182	3416	5918
183	3432	5895
184	3447	5870
185	3464	5848
186	3479	5823
187	3494	5799
188	3522	5795
189	3567	5821
190	3584	5798
191	3600	5775
192	3616	5753
193	3631	5728
194	3646	5704
195	3663	5681
196	3694	5681
197	3725	5682
198	3756	5682
199	3772	5658
200	3788	5635
201	3803	5610
202	3821	5590
203	3836	5566
204	3860	5556
205	3878	5535
206	3897	5516
207	3914	5495
208	3930	5472
209	3946	5450
210	3963	5428
211	3980	5406
212	3996	5385
213	4013	5363
214	4029	5341
215	4045	5319
216	4062	5297
217	4078	5276
218	4097	5257
219	4112	5234
220	4130	5214
221	4147	5193
222	4163	5171
223	4180	5150
224	4197	5129
225	4214	5109
226	4230	5088
227	4248	5067
228	4266	5049
229	4283	5028
230	4314	5024
231	4331	5003
232	4363	4999
233	4378	4977
234	4394	4955
235	4410	4933
236	4425	4910
237	4441	4888
238	4456	4866
239	4472	4845
240	4489	4824
241	4504	4801
242	4519	4780
243	4536	4759
244	4551	4737
245	4567	4715
246	4583	4694
247	4607	4681
248	4623	4660
249	4654	4654
250	4685	4647
251	4699	4625
252	4714	4602
253	4730	4581
254	4759	4572
255	4774	4550
256	4790	4529
257	4806	4508
258	4822	4487
259	4838	4466
260	4853	4444
261	4870	4424
262	4889	4406
263	4921	4399
264	4937	4378
265	4954	4358
266	4970	4337
267	4986	4317
268	5008	4300
269	5024	4279
270	5039	4258
271	5055	4237
272	5071	4217
273	5087	4196
274	5103	4175
275	5119	4154
276	5148	4145
277	5163	4123
278	5179	4102
279	5196	4082
280	5212	4062
281	5227	4041
282	5242	4020
283	5258	3999
284	5275	3980
285	5291	3959
286	5306	3938
287	5321	3917
288	5337	3897
289	5352	3875
290	5366	3854
291	5381	3833
292	5396	3812
293	5411	3791
294	5427	3771
295	5448	3755
296	5464	3734
297	5479	3714
298	5496	3694
299	5512	3674
300	5527	3654
301	5558	3644
302	5575	3624
303	5590	3604
304	5606	3584
305	5621	3563
306	5636	3543
307	5651	3523
308	5667	3502
309	5682	3482
310	5698	3463
311	5713	3442
312	5729	3423
313	5745	3403
314	5771	3389
315	5786	3369
316	5802	3349
317	5818	3330
318	5837	3312
319	5853	3292
320	5869	3272
321	5886	3253
322	5915	3241
323	5932	3222
324	5948	3202
325	5963	3183
326	5978	3163
327	5993	3143
328	6009	3123
329	6027	3104
330	6043	3085
331	6059	3066
332	6075	3046
333	6090	3026
334	6106	3007
335	6133	2993
336	6149	2974
337	6164	2954
338	6180	2935
339	6195	2915
340	6211	2896
341	6226	2876
342	6244	2858
343	6260	2839
344	6275	2819
345	6291	2800
346	6308	2781
347	6324	2762
348	6340	2743
349	6354	2723
350	6370	2704
351	6386	2685
352	6401	2665
353	6416	2646
354	6432	2627
355	6464	2614
356	6480	2595
357	6496	2576
358	6511	2557
359	6525	2537
360	6541	2518
361	6557	2499
362	6573	2480
363	6589	2462
364	6610	2444
365	6626	2426
366	6656	2412
367	6672	2393
368	6688	2374
369	6702	2354
370	6718	2336
371	6735	2317
372	6749	2298
373	6765	2279
374	6781	2260
375	6796	2241
376	6811	2222
377	6827	2203
378	6843	2184
379	6859	2166
380	6874	2147
381	6891	2128
382	6906	2109
383	6921	2090
384	6949	2075
385	6965	2057
386	6981	2038
387	6998	2020
388	7014	2001
389	7029	1982
390	7044	1963
391	7058	1944
392	7073	1925
393	7089	1907
394	7107	1889
395	7123	1870
396	7138	1852
397	7154	1833
398	7169	1814
399	7187	1796
400	7205	1778
401	7221	1760
402	7237	1742
403	7253	1723
404	7269	1705
405	7284	1686
406	7299	1667
407	7316	1649
408	7343	1633
409	7361	1615
410	7378	1597
411	7398	1580
412	7416	1562
413	7434	1544
414	7447	1525
415	7464	1507
416	7481	1489
417	7499	1471
418	7544	1458
419	7558	1439
420	7574	1421
421	7591	1403
422	7614	1386
423	7630	1367
424	7647	1349
425	7663	1331
426	7682	1313
427	7698	1295
428	7712	1276
429	7743	1260
430	7761	1242
431	7776	1224
432	7792	1205
433	7808	1187
434	7824	1169
435	7852	1152
436	7869	1134
437	7887	1116
438	7914	1099
439	7933	1081
440	7962	1065
441	7981	1047
442	8014	1031
443	8040	1014
444	8056	995
445	8072	977
446	8089	959
447	8105	940
448	8128	923
449	8145	905
450	8175	888
451	8192	869
452	8208	851
453	8225	833
454	8242	815
455	8258	796
456	8274	778
457	8291	760
458	8306	741
459	8322	723
460	8351	706
461	8367	688
462	8382	669
463	8400	651
464	8416	633
465	8444	616
466	8462	597
467	8488	580
468	8504	562
469	8520	543
470	8548	526
471	8570	508
472	8586	490
473	8602	471
474	8618	453
475	8645	435
476	8661	417
477	8680	399
478	8696	381
479	8712	363
480	8729	344
481	8745	326
482	8760	308
483	8776	290
484	8793	271
485	8807	253
486	8824	235
487	8839	217
488	8855	199
489	8872	181
490	8888	162
491	8903	144
492	8918	126
493	8934	108
494	8949	90
495	8963	72
496	8980	54
497	8996	36
498	9013	18
499	9029	0
